Variety,Freq,M%,Phase_Corr,Permittivity_real,Permittivity_imaginary,d(cm),Type
OKLAHOMA,17.0,18.815706,-947.6715,2.662069,0.4351711,7.7,15.737999929794523
OKLAHOMA,16.0,11.523784,-904.13434,2.5414796,0.26202837,7.7,15.737999929794523
OKLAHOMA,15.0,16.787579,-765.4463,2.6261404,0.42546803,6.5,15.737999929794523
NEBRASKA SETTLER,14.0,15.725127,-858.1923,2.81847,0.45106125,7.7,17.078772725687102
NEBRASKA SETTLER,11.0,10.860528,-728.45264,2.528758,0.25542706,8.9,17.078772725687102
KANSAS,5.0,16.003675,-312.11102,2.905997,0.47677585,7.7,16.21301534650456
NEBRASKA OVERLAND,8.0,19.456993,-448.9402,3.194677,0.6787569,6.5,17.420924666307858
NEBRASKA OVERLAND,12.0,16.652239,-732.6046,2.7404852,0.45568845,7.7,17.420924666307858
NEBRASKA SETTLER,9.0,16.617659,-622.2226,2.9570477,0.5043233,7.7,17.078772725687102
KANSAS,10.0,18.334387,-572.28455,3.0474906,0.632604,6.5,16.21301534650456
NEBRASKA OVERLAND,10.0,18.289967,-536.3483,2.7623043,0.5318489,6.5,17.420924666307858
NEBRASKA OVERLAND,5.0,21.19472,-246.50122,3.8049297,0.8502467,4.4,17.420924666307858
NEBRASKA OVERLAND,10.0,14.345125,-633.5231,2.7757246,0.40166146,8.9,17.420924666307858
OKLAHOMA,5.0,15.726077,-309.96384,2.7019074,0.3573368,7.7,15.737999929794523
KANSAS,16.0,13.36904,-903.432,2.6049616,0.33924776,7.7,16.21301534650456
OKLAHOMA,7.0,13.835705,-456.75323,2.719029,0.32462192,7.7,15.737999929794523
KANSAS,6.0,17.203882,-344.31808,3.0181751,0.53732204,6.5,16.21301534650456
KANSAS,8.0,14.495945,-497.19794,2.668519,0.3593991,7.7,16.21301534650456
NEBRASKA SETTLER,15.0,20.598564,-652.63605,3.047351,0.7468264,4.4,17.078772725687102
OKLAHOMA,8.0,22.118797,-367.05582,3.6613522,0.82500416,4.4,15.737999929794523
KANSAS,8.0,20.602703,-293.20468,3.0560796,0.5728049,4.4,16.21301534650456
KANSAS,15.0,10.479441,-933.2055,2.459084,0.23580027,8.9,16.21301534650456
NEBRASKA SETTLER,16.0,17.384026,-1045.5658,3.1299448,0.6261636,7.7,17.078772725687102
KANSAS,12.0,15.173494,-729.505,2.7899578,0.44587028,7.7,16.21301534650456
NEBRASKA SETTLER,9.0,12.723834,-657.2746,2.880398,0.37869617,8.9,17.078772725687102
OKLAHOMA,12.0,11.857422,-823.63763,2.7497027,0.30044758,8.9,15.737999929794523
KANSAS,15.0,13.441027,-819.80066,2.5276668,0.31553653,7.7,16.21301534650456
NEBRASKA SETTLER,8.0,20.776896,-320.37115,3.1931052,0.66177577,4.4,17.078772725687102
OKLAHOMA,17.0,10.295183,-1128.9872,2.444679,0.22448026,8.9,15.737999929794523
OKLAHOMA,13.0,12.177501,-716.12836,2.572723,0.2732589,7.7,15.737999929794523
NEBRASKA SETTLER,5.0,16.70349,-379.2614,3.1316803,0.5471359,7.7,17.078772725687102
NEBRASKA SETTLER,10.0,19.099348,-700.9271,3.5430164,0.8087414,6.5,17.078772725687102
NEBRASKA SETTLER,9.0,15.584716,-606.0955,2.9106445,0.47291028,7.7,17.078772725687102
OKLAHOMA,6.0,16.395214,-352.76917,2.7787583,0.41520745,7.7,15.737999929794523
NEBRASKA SETTLER,8.0,11.860412,-594.9053,2.7309997,0.32729083,8.9,17.078772725687102
KANSAS,6.0,20.571573,-275.84244,3.6822162,0.7981612,4.4,16.21301534650456
OKLAHOMA,12.0,10.698113,-802.3716,2.6506248,0.25183713,7.7,15.737999929794523
NEBRASKA OVERLAND,6.0,16.954336,-439.007,2.9191802,0.50302744,7.7,17.420924666307858
KANSAS,9.0,20.50314,-361.94183,3.111806,0.64943254,4.4,16.21301534650456
NEBRASKA SETTLER,7.0,15.652701,-499.0346,3.2367952,0.562126,7.7,17.078772725687102
NEBRASKA SETTLER,16.0,14.349911,-922.5026,2.642558,0.35804814,7.7,17.078772725687102
NEBRASKA SETTLER,6.0,16.34348,-413.83664,3.281761,0.5898023,7.7,17.078772725687102
OKLAHOMA,5.0,12.38049,-318.91202,2.6569703,0.29150736,7.7,15.737999929794523
NEBRASKA SETTLER,15.0,15.117744,-900.295,2.78422,0.40932202,7.7,17.078772725687102
OKLAHOMA,10.0,13.776752,-604.5352,2.7099838,0.34030658,6.5,15.737999929794523
OKLAHOMA,13.0,19.354069,-691.429,2.7727273,0.4867775,6.5,15.737999929794523
NEBRASKA SETTLER,8.0,15.755944,-607.9237,3.2202728,0.5767316,7.7,17.078772725687102
NEBRASKA SETTLER,6.0,15.837793,-416.33066,2.844204,0.43055955,7.7,17.078772725687102
KANSAS,17.0,16.109337,-880.3293,2.6464229,0.43873066,7.7,16.21301534650456
OKLAHOMA,12.0,22.270313,-431.2219,2.8462718,0.5827703,4.4,15.737999929794523
NEBRASKA SETTLER,6.0,17.141445,-438.2799,3.250145,0.60804987,7.7,17.078772725687102
OKLAHOMA,12.0,10.325026,-865.7422,2.5329244,0.22652142,8.9,15.737999929794523
NEBRASKA SETTLER,8.0,17.143112,-604.3856,3.1921885,0.59973854,7.7,17.078772725687102
OKLAHOMA,9.0,16.351215,-531.39276,2.8282924,0.4076265,6.5,15.737999929794523
KANSAS,17.0,17.208704,-863.3463,2.6270828,0.48581064,7.7,16.21301534650456
KANSAS,11.0,16.142862,-695.2554,2.8364027,0.45953232,7.7,16.21301534650456
OKLAHOMA,9.0,12.276723,-592.6603,2.6920686,0.32225025,7.7,15.737999929794523
OKLAHOMA,16.0,13.621834,-945.5072,2.6290646,0.33532926,7.7,15.737999929794523
OKLAHOMA,6.0,22.88692,-280.4829,3.5044503,0.7084326,4.4,15.737999929794523
OKLAHOMA,16.0,12.27686,-921.0806,2.5619123,0.25462052,7.7,15.737999929794523
KANSAS,6.0,15.987532,-328.249,2.5735118,0.332946,7.7,16.21301534650456
NEBRASKA OVERLAND,6.0,16.949553,-373.99435,2.775387,0.4566428,7.7,17.420924666307858
NEBRASKA SETTLER,9.0,15.565549,-557.7823,2.8056114,0.4237563,6.5,17.078772725687102
NEBRASKA OVERLAND,8.0,17.719559,-537.8905,2.8017724,0.507082,7.7,17.420924666307858
NEBRASKA SETTLER,6.0,15.555274,-453.79453,3.4767406,0.63168144,7.7,17.078772725687102
NEBRASKA SETTLER,5.0,20.798218,-242.22437,3.9461567,0.9209971,4.4,17.078772725687102
NEBRASKA SETTLER,6.0,14.586754,-426.85684,2.97807,0.45056498,7.7,17.078772725687102
NEBRASKA OVERLAND,16.0,16.632963,-1001.7154,2.887916,0.5002445,7.7,17.420924666307858
KANSAS,6.0,17.269424,-364.78296,2.7419174,0.44091573,7.7,16.21301534650456
NEBRASKA OVERLAND,14.0,16.771837,-739.4949,2.6469474,0.4552648,6.5,17.420924666307858
OKLAHOMA,15.0,10.456549,-1013.79315,2.4880219,0.23539838,8.9,15.737999929794523
KANSAS,6.0,15.851014,-370.8261,2.8145914,0.42625344,7.7,16.21301534650456
NEBRASKA SETTLER,6.0,21.066866,-254.75395,3.7280989,0.8115425,4.4,17.078772725687102
OKLAHOMA,6.0,10.964446,-355.01517,2.5696764,0.24740367,8.9,15.737999929794523
NEBRASKA SETTLER,14.0,18.484093,-928.227,3.4238753,0.76373905,7.7,17.078772725687102
NEBRASKA OVERLAND,14.0,14.373027,-841.63855,2.6482785,0.37865052,7.7,17.420924666307858
NEBRASKA OVERLAND,8.0,22.97703,-342.78888,3.3862288,0.78660107,4.4,17.420924666307858
NEBRASKA OVERLAND,6.0,14.665506,-392.688,2.9752226,0.45572376,7.7,17.420924666307858
NEBRASKA SETTLER,14.0,19.056099,-910.7617,3.3197505,0.76153386,6.5,17.078772725687102
KANSAS,8.0,18.751316,-429.20294,3.3289542,0.6738518,4.4,16.21301534650456
OKLAHOMA,14.0,11.043896,-805.5962,2.5622714,0.2531456,7.7,15.737999929794523
OKLAHOMA,7.0,12.641904,-456.312,2.6678896,0.30522096,7.7,15.737999929794523
NEBRASKA OVERLAND,7.0,16.8553,-485.80652,2.8547554,0.49089438,7.7,17.420924666307858
NEBRASKA SETTLER,8.0,16.099115,-561.8046,2.971331,0.49365267,7.7,17.078772725687102
NEBRASKA SETTLER,9.0,15.769555,-603.14124,2.9982386,0.5139699,7.7,17.078772725687102
KANSAS,13.0,17.691326,-674.3709,2.6762066,0.47927457,6.5,16.21301534650456
NEBRASKA OVERLAND,11.0,18.66047,-743.9297,2.9882607,0.5930831,7.7,17.420924666307858
KANSAS,8.0,13.372393,-542.4726,2.7094169,0.35206437,8.9,16.21301534650456
OKLAHOMA,17.0,12.899924,-937.7725,2.5496223,0.27929035,7.7,15.737999929794523
KANSAS,11.0,15.756594,-672.2974,2.7106285,0.4086505,7.7,16.21301534650456
OKLAHOMA,12.0,12.757543,-710.53674,2.6368449,0.32356316,7.7,15.737999929794523
NEBRASKA OVERLAND,7.0,16.973944,-488.87402,3.1401196,0.58634156,7.7,17.420924666307858
OKLAHOMA,8.0,10.795012,-573.68274,2.730562,0.25734237,8.9,15.737999929794523
NEBRASKA OVERLAND,10.0,13.048601,-681.67236,2.626376,0.32218236,8.9,17.420924666307858
NEBRASKA SETTLER,8.0,19.200932,-665.7233,3.8529115,0.915291,6.5,17.078772725687102
NEBRASKA SETTLER,6.0,18.11304,-440.06696,3.7734683,0.8686241,6.5,17.078772725687102
KANSAS,7.0,15.90998,-451.85983,2.6647942,0.38167435,7.7,16.21301534650456
KANSAS,7.0,13.676245,-447.71063,2.6434352,0.34112656,7.7,16.21301534650456
NEBRASKA SETTLER,15.0,14.809546,-921.17114,2.7344174,0.3954869,7.7,17.078772725687102
KANSAS,13.0,11.872253,-829.9102,2.6301074,0.30367512,7.7,16.21301534650456
NEBRASKA SETTLER,7.0,16.84395,-489.2168,3.027587,0.548609,7.7,17.078772725687102
NEBRASKA OVERLAND,5.0,20.821413,-238.3763,3.8095598,0.81932575,4.4,17.420924666307858
KANSAS,9.0,15.849014,-539.83453,2.6467206,0.38534468,7.7,16.21301534650456
KANSAS,7.0,21.44042,-265.22852,3.0873013,0.535968,4.4,16.21301534650456
NEBRASKA SETTLER,9.0,21.252127,-449.14307,3.6556022,0.88648856,4.4,17.078772725687102
OKLAHOMA,12.0,21.02127,-605.62177,2.9789772,0.6019341,6.5,15.737999929794523
OKLAHOMA,14.0,18.358303,-720.98895,2.7230496,0.47731906,6.5,15.737999929794523
OKLAHOMA,16.0,13.152305,-917.9584,2.5735781,0.3176119,7.7,15.737999929794523
NEBRASKA SETTLER,15.0,15.286731,-939.8217,2.763144,0.42466548,7.7,17.078772725687102
KANSAS,6.0,17.002834,-391.42188,2.9308681,0.5161519,7.7,16.21301534650456
OKLAHOMA,7.0,23.610756,-287.67972,3.369707,0.6792662,4.4,15.737999929794523
NEBRASKA SETTLER,12.0,18.941256,-730.4631,3.1283536,0.6942078,6.5,17.078772725687102
KANSAS,12.0,10.865736,-790.54315,2.61009,0.26747736,8.9,16.21301534650456
OKLAHOMA,12.0,11.567282,-683.0727,2.5544398,0.2540971,7.7,15.737999929794523
NEBRASKA SETTLER,7.0,12.025436,-538.0496,2.6712973,0.3000483,8.9,17.078772725687102
KANSAS,6.0,17.21348,-423.45694,3.0093021,0.52862614,7.7,16.21301534650456
OKLAHOMA,16.0,12.049557,-899.96045,2.5514443,0.2803571,7.7,15.737999929794523
NEBRASKA SETTLER,7.0,17.457266,-565.7481,3.452742,0.6849742,7.7,17.078772725687102
NEBRASKA SETTLER,14.0,15.268844,-910.251,2.8737743,0.44836208,7.7,17.078772725687102
KANSAS,8.0,17.65618,-478.9536,2.9956381,0.56664866,6.5,16.21301534650456
KANSAS,5.0,11.680469,-341.16492,2.56248,0.2607615,8.9,16.21301534650456
KANSAS,12.0,18.390823,-700.98315,3.0967155,0.6874723,6.5,16.21301534650456
OKLAHOMA,12.0,22.669521,-627.41565,3.168057,0.69279,4.4,15.737999929794523
NEBRASKA SETTLER,7.0,19.285828,-484.64685,3.4444814,0.7605956,6.5,17.078772725687102
KANSAS,6.0,11.718883,-426.50092,2.6377053,0.2852877,8.9,16.21301534650456
NEBRASKA OVERLAND,9.0,21.41257,-334.0717,3.1263077,0.696944,4.4,17.420924666307858
NEBRASKA OVERLAND,15.0,10.615947,-947.78644,2.4643095,0.24301827,8.9,17.420924666307858
NEBRASKA OVERLAND,7.0,17.521744,-523.6516,3.2288053,0.6211813,7.7,17.420924666307858
OKLAHOMA,10.0,13.098438,-624.04767,2.6535604,0.32859868,7.7,15.737999929794523
KANSAS,15.0,14.2495775,-878.5128,2.6339958,0.35710427,7.7,16.21301534650456
OKLAHOMA,17.0,12.232891,-970.54675,2.5225587,0.25960827,7.7,15.737999929794523
NEBRASKA OVERLAND,16.0,18.64505,-793.3882,2.6397514,0.46740928,7.7,17.420924666307858
OKLAHOMA,17.0,17.990322,-974.8274,2.589377,0.38260373,7.7,15.737999929794523
NEBRASKA SETTLER,6.0,17.055002,-430.81888,3.1155846,0.5674966,7.7,17.078772725687102
OKLAHOMA,6.0,24.197493,-288.76895,3.6911378,0.8295055,4.4,15.737999929794523
KANSAS,7.0,20.198463,-275.06985,3.2860749,0.6276275,4.4,16.21301534650456
KANSAS,14.0,18.875254,-583.37915,2.7949235,0.5679339,4.4,16.21301534650456
NEBRASKA OVERLAND,16.0,17.700535,-888.2365,2.7118816,0.5294605,7.7,17.420924666307858
OKLAHOMA,9.0,10.427735,-580.30884,2.5845997,0.23227625,7.7,15.737999929794523
NEBRASKA OVERLAND,6.0,16.70693,-400.03912,2.9633462,0.5202563,7.7,17.420924666307858
KANSAS,8.0,16.424122,-511.3034,2.7511678,0.41873598,7.7,16.21301534650456
NEBRASKA SETTLER,6.0,17.125986,-476.97586,3.3059146,0.6022991,7.7,17.078772725687102
NEBRASKA OVERLAND,14.0,17.993095,-763.49744,2.6863892,0.52655816,6.5,17.420924666307858
NEBRASKA SETTLER,13.0,18.77059,-752.9874,3.1625884,0.724219,6.5,17.078772725687102
OKLAHOMA,7.0,11.260164,-547.57104,2.700564,0.27469024,8.9,15.737999929794523
NEBRASKA OVERLAND,6.0,20.989332,-262.0498,3.72731,0.8367128,4.4,17.420924666307858
NEBRASKA OVERLAND,10.0,21.363995,-390.75192,3.2207265,0.7363448,4.4,17.420924666307858
KANSAS,13.0,11.361258,-829.43164,2.5196493,0.26044422,8.9,16.21301534650456
OKLAHOMA,12.0,23.096626,-633.24567,3.2516453,0.7189708,4.4,15.737999929794523
NEBRASKA SETTLER,10.0,13.588707,-650.8001,2.8263845,0.40721923,7.7,17.078772725687102
KANSAS,13.0,20.570797,-461.5563,2.8186584,0.58169115,4.4,16.21301534650456
OKLAHOMA,8.0,13.05785,-494.31546,2.596277,0.2853036,7.7,15.737999929794523
OKLAHOMA,7.0,10.573966,-523.91406,2.6019747,0.2409258,8.9,15.737999929794523
OKLAHOMA,16.0,11.452501,-895.19867,2.5041916,0.24083436,7.7,15.737999929794523
OKLAHOMA,16.0,12.64118,-901.8277,2.5899649,0.29088354,7.7,15.737999929794523
KANSAS,5.0,14.682818,-303.91544,2.8625503,0.4248464,7.7,16.21301534650456
NEBRASKA OVERLAND,12.0,12.47507,-788.8478,2.6121767,0.31180963,8.9,17.420924666307858
NEBRASKA OVERLAND,13.0,16.586931,-840.48785,2.7953005,0.4770438,7.7,17.420924666307858
NEBRASKA SETTLER,16.0,19.260803,-665.99927,2.7149813,0.5590518,4.4,17.078772725687102
OKLAHOMA,8.0,11.556186,-544.06995,2.7207956,0.2948816,7.7,15.737999929794523
OKLAHOMA,12.0,10.654203,-704.5944,2.565284,0.23942465,7.7,15.737999929794523
