,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
13,KANSAS,-69136.2734375,24222.55078125,-78264.4765625,-1645.3505859375,114379.375,1924845.0,5798759.0,-9104.8466796875,-4373.7099609375,-10533.62890625,182293.015625,-755997.8125,-2755611.25
14,KANSAS,-70934.2265625,24853.77734375,-80289.328125,-1688.067626953125,117337.5390625,1974679.875,5947844.5,-9341.5283203125,-4487.33154296875,-10806.9677734375,187002.8125,-775611.8125,-2827395.25
15,KANSAS,-45319.8203125,15876.458984375,-51312.6484375,-1078.3187255859375,75016.0,1262373.375,3803267.0,-5968.71728515625,-2867.5634765625,-6900.61328125,119520.515625,-495755.21875,-1806532.625
16,KANSAS,-57234.78515625,20054.3828125,-64781.734375,-1361.9422607421875,94675.2265625,1593267.75,4799179.5,-7536.6708984375,-3620.508544921875,-8717.2705078125,150892.96875,-625813.625,-2281291.0
17,KANSAS,-75468.203125,26440.62109375,-85413.1640625,-1795.8489990234375,124818.15625,2100748.25,6327142.0,-9937.28515625,-4773.91015625,-11497.857421875,198937.3125,-825101.25,-3007823.5
18,KANSAS,-53085.93359375,18600.265625,-60092.18359375,-1263.1549072265625,87843.703125,1478196.125,4452717.0,-6991.0458984375,-3358.647705078125,-8085.36572265625,139964.265625,-580586.5625,-2116088.25
19,KANSAS,-44248.16015625,15504.2109375,-50088.9375,-1052.769775390625,73217.140625,1232061.75,3711082.5,-5826.25439453125,-2799.266845703125,-6736.0751953125,116658.7109375,-483901.46875,-1763801.375
20,KANSAS,-46618.0234375,16334.2060546875,-52778.54296875,-1109.30078125,77148.1484375,1298267.0,3910619.75,-6139.61572265625,-2949.624267578125,-7098.3291015625,122934.1484375,-509873.15625,-1858193.75
21,KANSAS,-55887.59765625,19581.345703125,-63269.0859375,-1329.919189453125,92490.3984375,1556475.375,4688377.5,-7360.17333984375,-3536.1865234375,-8513.5634765625,147359.65625,-611259.125,-2227956.5
22,KANSAS,-41974.4375,14706.2177734375,-47525.24609375,-998.7037353515625,69474.765625,1169067.625,3521727.5,-5527.46923828125,-2655.79931640625,-6389.79931640625,110688.984375,-459130.0625,-1673076.875
23,KANSAS,-64477.5234375,22590.05859375,-73001.484375,-1534.52490234375,106712.734375,1795823.125,5410197.5,-8492.05859375,-4079.85546875,-9824.0078125,170038.0625,-705286.6875,-2570229.25
24,KANSAS,-49908.171875,17488.328125,-56488.67578125,-1187.503173828125,82558.2421875,1389273.5,4184459.0,-6571.85107421875,-3157.013671875,-7599.31640625,131561.09375,-545675.375,-1989369.5
25,KANSAS,-59560.46484375,20869.875,-67418.953125,-1417.1883544921875,98529.0703125,1658041.25,4994532.5,-7843.05224609375,-3767.81640625,-9072.4609375,157024.40625,-651313.25,-2374072.75
26,KANSAS,-51828.5859375,18158.267578125,-58676.94140625,-1233.26416015625,85770.0,1443359.25,4348004.5,-6825.52294921875,-3279.077880859375,-7893.56298828125,136660.734375,-566833.75,-2065913.625
27,KANSAS,-53771.2734375,18838.248046875,-60878.53125,-1279.54541015625,88982.6484375,1497500.75,4511262.5,-7081.25341796875,-3402.0888671875,-8189.45849609375,141792.453125,-588095.125,-2143183.0
28,KANSAS,-73355.5703125,25700.076171875,-83020.8125,-1745.5831298828125,121337.3984375,2042033.25,6150676.5,-9659.228515625,-4640.3134765625,-11175.9501953125,193353.359375,-802045.8125,-2923643.5
29,KANSAS,-71777.1484375,25146.689453125,-81251.8046875,-1708.126953125,118763.5546875,1998695.5,6021150.0,-9452.9248046875,-4541.267578125,-10936.7919921875,189241.515625,-784957.375,-2861051.5
30,KANSAS,-46761.3046875,16384.751953125,-52937.515625,-1112.635009765625,77385.4609375,1302152.375,3922546.25,-6158.03125,-2958.550537109375,-7120.16650390625,123305.296875,-511408.34375,-1863967.0
31,KANSAS,-66733.1875,23381.55078125,-75536.8671875,-1588.033935546875,110397.1796875,1857890.0,5596548.5,-8788.6064453125,-4221.62255859375,-10167.0927734375,175935.953125,-729701.8125,-2659867.75
32,KANSAS,-41854.5234375,14665.318359375,-47393.6171875,-995.997802734375,69298.25,1166030.25,3512550.0,-5512.4521484375,-2648.72412109375,-6372.49072265625,110389.25,-457933.75,-1668585.0
33,KANSAS,-59464.3359375,20834.7109375,-67312.703125,-1415.0211181640625,98395.3671875,1655909.125,4987483.5,-7830.9521484375,-3762.37158203125,-9057.900390625,156774.625,-650309.6875,-2370210.0
34,KANSAS,-57644.6640625,20193.15234375,-65270.14453125,-1371.8458251953125,95424.5625,1605895.125,4837977.5,-7592.16943359375,-3647.6943359375,-8781.478515625,152029.796875,-630588.625,-2297932.0
35,KANSAS,-48496.89453125,16995.08203125,-54905.9453125,-1154.111328125,80244.25,1350359.0,4067539.5,-6387.27783203125,-3068.31787109375,-7385.1181640625,127891.1796875,-530355.125,-1933098.75
36,KANSAS,-53367.78515625,18694.896484375,-60429.73828125,-1269.9873046875,88344.7734375,1486754.0,4479111.5,-7029.03515625,-3377.03759765625,-8128.99560546875,140749.9375,-583823.8125,-2127408.75
37,KANSAS,-46638.90234375,16342.0771484375,-52806.48046875,-1109.75244140625,77197.46875,1299153.625,3913410.25,-6142.91650390625,-2951.308837890625,-7102.7822265625,122996.5234375,-510152.0,-1859314.75
38,KANSAS,-58080.6796875,20350.21484375,-65748.7109375,-1382.0322265625,96098.4375,1617246.125,4871136.0,-7649.46826171875,-3674.542236328125,-8847.0546875,153122.046875,-635121.0625,-2315081.25
39,KANSAS,-82827.4765625,29019.91015625,-93741.21875,-1971.1456298828125,136994.09375,2305542.0,6945007.5,-10907.1962890625,-5239.4150390625,-12621.5263671875,218336.625,-905559.4375,-3301259.25
40,KANSAS,-62136.25390625,21771.154296875,-70334.1875,-1478.613037109375,102794.4921875,1729873.75,5210940.5,-8182.5888671875,-3931.04736328125,-9465.4677734375,163822.484375,-679470.8125,-2476646.75
41,KANSAS,-47428.4921875,16619.328125,-53696.1640625,-1128.5087890625,78502.15625,1321034.625,3979194.25,-6246.7021484375,-3001.23681640625,-7222.484375,125064.375,-518789.0625,-1890676.875
42,KANSAS,-75591.1796875,26487.544921875,-85549.78125,-1798.858154296875,125003.734375,2103879.25,6336771.0,-9954.2548828125,-4781.47216796875,-11517.8388671875,199256.203125,-826407.125,-3012883.0
43,KANSAS,-56800.9609375,19901.52734375,-64293.48046875,-1351.5540771484375,93981.515625,1581589.125,4764088.0,-7480.03173828125,-3593.69677734375,-8651.57421875,149750.65625,-621171.375,-2264104.25
44,KANSAS,-51613.890625,18080.4609375,-58442.08984375,-1228.29052734375,85443.28125,1437857.0,4332053.5,-6798.08251953125,-3266.075927734375,-7861.1328125,136129.796875,-564624.1875,-2057423.125
45,KANSAS,-48867.22265625,17118.40625,-55325.05859375,-1162.78369140625,80882.4609375,1361170.75,4100567.75,-6435.4150390625,-3092.0087890625,-7441.390625,128860.0625,-534523.5625,-1947881.875
46,KANSAS,-67641.65625,23702.623046875,-76554.4375,-1609.6114501953125,111877.1171875,1882640.375,5670638.0,-8906.8642578125,-4278.681640625,-10304.87109375,178298.0,-739524.75,-2696158.0
47,KANSAS,-68672.34375,24061.232421875,-77718.765625,-1634.1270751953125,113576.875,1911453.75,5757186.5,-9042.4208984375,-4343.97216796875,-10461.9697265625,181012.125,-750789.875,-2737055.25
48,KANSAS,-50542.7421875,17704.57421875,-57225.67578125,-1202.7503662109375,83673.1015625,1408169.375,4242149.5,-6656.24365234375,-3198.486572265625,-7697.86474609375,133290.765625,-552982.75,-2014895.875
49,KANSAS,-55251.890625,19357.1171875,-62542.328125,-1314.7490234375,91423.2109375,1538540.5,4634603.0,-7276.1884765625,-3495.462890625,-8415.15234375,145677.28125,-604227.5625,-2202332.25
50,KANSAS,-56841.73046875,19916.41015625,-64340.58203125,-1352.60986328125,94030.40625,1582478.125,4767243.5,-7486.13232421875,-3595.828125,-8657.591796875,149867.921875,-621514.3125,-2265633.75
51,KANSAS,-44225.10546875,15494.8642578125,-50064.3359375,-1052.156494140625,73182.5234375,1231361.375,3709262.25,-5823.46142578125,-2797.837890625,-6732.50634765625,116603.875,-483677.0,-1762715.875
52,KANSAS,-49234.953125,17252.279296875,-55730.70703125,-1171.4888916015625,81461.1015625,1370825.0,4128535.75,-6483.12451171875,-3114.62939453125,-7496.9970703125,129794.4453125,-538369.875,-1962536.125
53,KANSAS,-64609.796875,22635.337890625,-73138.921875,-1537.4420166015625,106905.0625,1799115.375,5419570.0,-8508.8251953125,-4087.59619140625,-9843.0654296875,170344.8125,-706591.1875,-2575220.5
54,KANSAS,-54490.3203125,19091.791015625,-61691.33984375,-1296.630126953125,90186.0546875,1517681.5,4572267.5,-7176.9716796875,-3447.904296875,-8300.427734375,143698.546875,-596030.625,-2172178.0
55,KANSAS,-78971.2421875,27669.5859375,-89386.375,-1879.4619140625,130631.7890625,2198469.75,6622373.0,-10400.1005859375,-4995.74267578125,-12033.7802734375,208191.203125,-863446.6875,-3147669.75
56,KANSAS,-51078.859375,17895.4375,-57825.02734375,-1215.399169921875,84518.5703125,1422276.5,4285002.5,-6727.26611328125,-3231.48291015625,-7779.05810546875,134689.34375,-558612.9375,-2036028.0
57,KANSAS,-64706.3203125,22671.298828125,-73238.75,-1539.8302001953125,107038.8125,1801343.5,5425526.5,-8520.1171875,-4093.32958984375,-9856.857421875,170573.34375,-707490.5,-2579113.5
58,KANSAS,-49356.87109375,17296.228515625,-55879.47265625,-1174.5013427734375,81680.7734375,1374597.75,4140449.75,-6500.7939453125,-3123.080078125,-7517.08154296875,130147.96875,-539827.9375,-1967686.875
59,KANSAS,-61555.8515625,21567.6484375,-69696.015625,-1464.9490966796875,101887.4453125,1714604.25,5165144.5,-8107.404296875,-3895.27587890625,-9378.7490234375,162339.65625,-673330.625,-2453841.75
60,KANSAS,-68657.8515625,24054.806640625,-77718.5078125,-1633.8492431640625,113585.4140625,1911603.5,5758399.5,-9042.0693359375,-4343.63134765625,-10460.666015625,181014.703125,-750823.5,-2736600.75
61,KANSAS,-46271.0390625,16210.677734375,-52386.9453125,-1100.9381103515625,76591.921875,1288875.25,3882754.5,-6093.48779296875,-2928.110107421875,-7045.70703125,122017.734375,-506186.46875,-1844404.375
62,KANSAS,-48116.3046875,16859.375,-54479.7109375,-1145.0291748046875,79623.5546875,1339910.0,4036547.75,-6336.80810546875,-3044.125,-7326.96337890625,126895.6171875,-526218.1875,-1917912.625
63,KANSAS,-59122.01171875,20714.287109375,-66924.921875,-1406.9166259765625,97820.1015625,1646189.75,4958614.5,-7785.625,-3740.22802734375,-9005.0244140625,155872.25,-646503.5,-2356424.0
64,KANSAS,-62525.90625,21905.697265625,-70773.6640625,-1487.82861328125,103443.59375,1740868.375,5244257.0,-8234.416015625,-3955.61962890625,-9524.8505859375,164846.875,-683737.8125,-2492165.75
65,KANSAS,-50447.30859375,17675.62890625,-57099.01953125,-1200.364501953125,83460.3046875,1404555.375,4230665.5,-6642.5986328125,-3191.4892578125,-7681.7119140625,132990.421875,-551676.5625,-2010811.25
66,KANSAS,-54835.0546875,19210.68359375,-62071.6640625,-1304.73583984375,90734.40625,1526981.375,4599629.5,-7220.5029296875,-3469.40869140625,-8351.64453125,144563.34375,-599697.75,-2185677.25
67,KANSAS,-70684.46875,24764.427734375,-80008.015625,-1682.133056640625,116936.078125,1967996.25,5928044.5,-9308.578125,-4471.8037109375,-10769.505859375,186354.3125,-772933.5625,-2817322.5
68,KANSAS,-51959.8203125,18206.515625,-58824.22265625,-1236.491455078125,85986.5234375,1447053.0,4358411.5,-6842.689453125,-3287.6845703125,-7913.33544921875,136999.953125,-568282.0,-2071174.625
69,KANSAS,-42237.59375,14798.5703125,-47821.35546875,-1004.9673461914062,69917.0234375,1176499.5,3544088.5,-5562.58447265625,-2672.806640625,-6430.2470703125,111387.609375,-462036.96875,-1683662.25
70,KANSAS,-50576.23828125,17721.849609375,-57248.296875,-1203.4039306640625,83668.6484375,1407950.5,4241007.5,-6659.9052734375,-3199.401611328125,-7701.18310546875,133338.34375,-553012.6875,-2015941.75
71,KANSAS,-65609.5625,22986.01171875,-74257.6875,-1561.1966552734375,108528.796875,1826405.75,5501705.5,-8639.095703125,-4150.353515625,-9993.962890625,172956.546875,-717365.6875,-2614891.75
72,KANSAS,-60751.5078125,21284.923828125,-68771.1015625,-1445.6868896484375,100519.1953125,1691684.25,5095324.5,-8000.3896484375,-3843.422119140625,-9253.673828125,160172.765625,-664330.8125,-2421475.75
73,KANSAS,-64330.95703125,22540.044921875,-72809.96875,-1530.813232421875,106402.2265625,1790653.0,5393348.0,-8471.3564453125,-4069.1923828125,-9799.634765625,169591.96875,-703345.625,-2564067.75
74,KANSAS,-67142.8828125,23525.296875,-75995.765625,-1597.8358154296875,111065.6953125,1869132.75,5629979.0,-8841.1357421875,-4247.5986328125,-10228.671875,177003.84375,-734144.3125,-2676187.25
75,KANSAS,-51849.58203125,18164.939453125,-58695.8046875,-1233.748779296875,85811.7578125,1444050.0,4349978.0,-6828.14453125,-3280.809814453125,-7896.6748046875,136721.03125,-567138.125,-2066786.75
76,KANSAS,-80788.6328125,28305.48828125,-91429.390625,-1922.5218505859375,133594.171875,2248417.75,6772304.0,-10637.7685546875,-5109.78515625,-12309.4599609375,212952.671875,-883157.125,-3219815.5
77,KANSAS,-64123.01953125,22468.005859375,-72587.65625,-1525.9927978515625,106089.09375,1785412.25,5378652.5,-8445.1162109375,-4056.905029296875,-9769.5458984375,169070.375,-701217.1875,-2555944.5
78,KANSAS,-57759.04296875,20234.55859375,-65395.54296875,-1374.4749755859375,95605.828125,1608947.125,4846560.0,-7607.4248046875,-3654.995849609375,-8798.8369140625,152318.234375,-631798.5,-2302375.5
79,KANSAS,-46127.06640625,16161.53515625,-52226.10546875,-1097.58740234375,76354.46875,1284748.25,3870559.0,-6075.0087890625,-2918.68212890625,-7024.3828125,121650.890625,-504581.21875,-1838780.625
80,KANSAS,-53731.9453125,18827.037109375,-60825.37890625,-1278.538818359375,88909.34375,1496205.125,4506758.5,-7075.630859375,-3399.56982421875,-8183.84619140625,141662.453125,-587630.5,-2141864.25
81,KANSAS,-69011.578125,24182.51171875,-78113.7109375,-1642.4208984375,114148.09375,1921095.5,5786215.0,-9088.009765625,-4365.8701171875,-10514.283203125,181932.640625,-754563.375,-2750708.75
82,KANSAS,-60844.0234375,21316.5703125,-68885.6328125,-1447.841552734375,100689.8125,1694619.125,5104906.5,-8013.734375,-3849.67529296875,-9268.8603515625,160429.046875,-665457.375,-2425342.0
83,KANSAS,-58512.2265625,20499.48046875,-66239.0859375,-1392.3187255859375,96817.6796875,1629354.125,4908585.5,-7705.2578125,-3701.850341796875,-8912.962890625,154280.15625,-639896.75,-2332196.75
84,KANSAS,-53378.171875,18699.751953125,-60429.046875,-1270.127197265625,88334.9609375,1486583.75,4478634.0,-7029.88916015625,-3377.313720703125,-8129.74560546875,140760.109375,-583825.4375,-2127589.5
85,KANSAS,-59090.609375,20700.787109375,-66911.75,-1406.3031005859375,97829.2734375,1646482.25,4960165.0,-7783.62060546875,-3739.53515625,-9003.111328125,155860.15625,-646473.5625,-2355794.5
86,KANSAS,-50469.05859375,17679.486328125,-57144.4609375,-1201.003173828125,83553.8984375,1406189.25,4235642.5,-6647.27587890625,-3193.8017578125,-7686.4970703125,133095.015625,-552095.625,-2011918.5
87,KANSAS,-66370.53125,23255.50390625,-75127.4140625,-1579.456298828125,109798.6796875,1847780.375,5566357.0,-8740.5810546875,-4198.75830078125,-10112.3720703125,174979.234375,-725785.9375,-2645583.75
88,KANSAS,-88432.1171875,30984.2421875,-100076.078125,-2104.43994140625,146240.328125,2461217.75,7412904.0,-11644.4677734375,-5593.5791015625,-13475.7333984375,233084.015625,-966769.3125,-3524486.25
89,KANSAS,-48638.640625,17040.48046875,-55066.89453125,-1157.39404296875,80508.8203125,1354803.0,4081371.75,-6405.98095703125,-3077.603515625,-7407.2939453125,128264.9765625,-532008.9375,-1938929.625
90,KANSAS,-44359.08984375,15544.884765625,-50212.15234375,-1055.438720703125,73388.9296875,1234922.5,3719969.0,-5841.6259765625,-2806.199462890625,-6753.22265625,116959.984375,-485064.21875,-1768215.25
91,KANSAS,-58738.8125,20582.361328125,-66487.28125,-1397.7459716796875,97164.7734375,1635066.25,4925263.5,-7735.15087890625,-3715.56494140625,-8946.2578125,154865.015625,-642241.3125,-2341240.25
92,KANSAS,-59950.546875,21005.474609375,-67847.625,-1426.45654296875,99150.0390625,1668623.0,5025734.5,-7893.49462890625,-3791.91796875,-9130.263671875,158013.21875,-655367.75,-2389400.75
93,KANSAS,-47792.13671875,16747.40234375,-54100.27734375,-1137.123046875,79066.796875,1330591.875,4007963.5,-6293.482421875,-3023.436767578125,-7276.85009765625,126000.6875,-522640.6875,-1905039.0
94,KANSAS,-51418.33203125,18016.08984375,-58195.30859375,-1223.4495849609375,85054.828125,1431399.125,4311680.5,-6770.65087890625,-3252.694091796875,-7829.84130859375,135545.59375,-562191.3125,-2049475.875
95,KANSAS,-77459.6796875,27139.9921875,-87665.984375,-1843.3404541015625,128111.203125,2156094.0,6494315.0,-10200.0673828125,-4899.9833984375,-11802.0078125,204184.125,-846902.8125,-3087347.5
96,KANSAS,-58516.8984375,20502.189453125,-66240.671875,-1392.4820556640625,96830.25,1629558.875,4908327.5,-7706.12255859375,-3702.453857421875,-8913.642578125,154295.296875,-639995.8125,-2332458.5
97,KANSAS,-49119.73828125,17212.67578125,-55601.03125,-1168.7421875,81270.2734375,1367576.375,4119199.75,-6468.28955078125,-3107.492919921875,-7479.6123046875,129507.1640625,-537140.375,-1957949.375
98,KANSAS,-67489.96875,23645.625,-76395.78125,-1606.1337890625,111658.359375,1879129.25,5660567.0,-8887.8095703125,-4269.77197265625,-10281.9736328125,177933.609375,-737986.25,-2690011.75
99,KANSAS,-55888.96875,19581.7421875,-63266.43359375,-1329.9779052734375,92470.03125,1556183.0,4687668.5,-7359.91650390625,-3535.743896484375,-8512.7685546875,147351.203125,-611172.5,-2227687.5
100,KANSAS,-62496.8984375,21898.5390625,-70738.3203125,-1487.180419921875,103376.046875,1739738.25,5240497.5,-8230.09375,-3953.39697265625,-9519.560546875,164757.203125,-683279.125,-2491073.25
101,KANSAS,-54725.203125,19171.33984375,-61955.7421875,-1302.2281494140625,90579.4140625,1524344.25,4591801.5,-7207.28857421875,-3462.691650390625,-8335.3349609375,144311.15625,-598590.0625,-2181270.5
102,KANSAS,-86092.1328125,30162.6953125,-97436.4296875,-2048.8408203125,142394.90625,2396570.75,7218116.5,-11336.7529296875,-5446.12451171875,-13119.1083984375,226932.453125,-941285.625,-3431335.5
103,KANSAS,-53998.9140625,18921.59375,-61129.375,-1284.9229736328125,89353.5703125,1503613.5,4529198.0,-7111.671875,-3416.403076171875,-8224.9306640625,142378.515625,-590552.625,-2152574.0
104,KANSAS,-60655.34765625,21251.953125,-68653.3046875,-1443.2210693359375,100346.2734375,1688726.125,5086259.5,-7987.0771484375,-3837.3271484375,-9239.4736328125,159888.671875,-663267.875,-2417682.0
105,KANSAS,-48289.6640625,16920.13671875,-54669.02734375,-1149.057373046875,79922.53125,1344946.5,4051534.0,-6360.79638671875,-3055.41259765625,-7354.4990234375,127337.8828125,-528170.625,-1925106.25
106,KANSAS,-71841.453125,25171.115234375,-81323.21875,-1709.7388916015625,118851.0703125,2000165.75,6025032.0,-9461.345703125,-4544.96875,-10946.119140625,189406.265625,-785587.375,-2863425.5
107,KANSAS,-49651.5546875,17396.578125,-56209.24609375,-1181.424072265625,82169.859375,1382730.75,4165127.75,-6538.94482421875,-3141.515380859375,-7561.30126953125,130913.515625,-543042.6875,-1979285.125
108,KANSAS,-65576.625,22974.416015625,-74229.1953125,-1560.5230712890625,108501.4453125,1826002.625,5500545.0,-8635.7861328125,-4149.0576171875,-9991.298828125,172890.0625,-717159.9375,-2613858.0
109,KANSAS,-58987.15625,20668.390625,-66772.453125,-1403.7017822265625,97581.5859375,1642212.25,4946806.5,-7768.25537109375,-3731.790283203125,-8985.107421875,155505.25,-644990.0,-2351064.0
110,KANSAS,-52657.19921875,18448.841796875,-59607.69140625,-1252.9852294921875,87133.2421875,1466337.75,4417105.5,-6934.2626953125,-3331.41796875,-8019.216796875,138849.625,-575871.8125,-2098846.25
111,KANSAS,-63686.5859375,22315.9453125,-72086.390625,-1515.48876953125,105351.75,1772881.125,5340536.0,-8387.0205078125,-4028.91650390625,-9702.3017578125,167895.578125,-696367.8125,-2538531.0
112,KANSAS,-74260.1875,26017.5234375,-84051.9453125,-1767.15869140625,122827.1640625,2067129.375,6226938.5,-9778.9267578125,-4697.462890625,-11314.1298828125,195758.96875,-811928.75,-2959647.0
113,KANSAS,-59327.6640625,20786.607421875,-67144.03125,-1411.677001953125,98127.7265625,1651288.875,4974236.0,-7811.69189453125,-3752.757568359375,-9035.90625,156392.40625,-648632.9375,-2364447.5
114,KANSAS,-73043.75,25590.623046875,-82662.109375,-1738.0904541015625,120803.2890625,2033083.25,6123769.5,-9617.9892578125,-4620.376953125,-11128.28515625,192536.25,-798590.4375,-2911143.0
115,KANSAS,-64900.171875,22741.177734375,-73452.0625,-1544.355712890625,107345.234375,1806475.75,5441057.0,-8547.1298828125,-4105.4013671875,-9886.6103515625,171079.234375,-709576.875,-2586888.5
116,KANSAS,-53025.6015625,18576.896484375,-60032.77734375,-1261.7694091796875,87774.96875,1477103.125,4449847.5,-6983.75390625,-3355.500244140625,-8077.21630859375,139841.140625,-580066.4375,-2113791.25
117,KANSAS,-63290.41015625,22175.6015625,-71646.3359375,-1506.1961669921875,104714.53125,1762234.125,5308653.0,-8334.8193359375,-4004.109619140625,-9642.0498046875,166878.90625,-692103.0625,-2522856.0
118,KANSAS,-43560.3828125,15262.5830078125,-49320.265625,-1036.501708984375,72100.046875,1213203.125,3654858.5,-5736.921875,-2756.065185546875,-6631.7470703125,114878.0078125,-476469.5,-1736504.375
119,KANSAS,-75073.3671875,26303.9921875,-84967.40625,-1786.4808349609375,124178.1328125,2089784.625,6294679.0,-9885.7197265625,-4749.1640625,-11438.55078125,197896.359375,-820819.0625,-2992258.75
120,KANSAS,-61226.28125,21454.529296875,-69295.1171875,-1456.888427734375,101260.0546875,1704160.75,5132664.5,-8062.5625,-3872.78271484375,-9325.75390625,161391.09375,-669352.9375,-2440429.25
121,KANSAS,-55527.62890625,19451.931640625,-62871.27734375,-1321.4234619140625,91925.5390625,1546852.75,4660371.0,-7313.7861328125,-3513.7880859375,-8458.65234375,146446.453125,-607470.625,-2213432.5
122,KANSAS,-59703.4375,20914.14453125,-67602.953125,-1420.87255859375,98811.5625,1662978.5,5010277.5,-7863.626953125,-3777.555419921875,-9095.14453125,157447.59375,-653017.9375,-2379807.25
123,KANSAS,-57753.578125,20237.02734375,-65383.5078125,-1374.366455078125,95555.9453125,1608135.25,4844080.0,-7605.7666015625,-3653.83447265625,-8797.3486328125,152270.671875,-631571.4375,-2302065.0
124,KANSAS,-47879.015625,16774.666015625,-54214.45703125,-1139.3748779296875,79252.53125,1333646.0,4017728.25,-6306.15576171875,-3029.49072265625,-7291.06005859375,126269.4453125,-523684.3125,-1908536.125
125,KANSAS,-40507.2265625,14191.6611328125,-45864.48828125,-963.7195434570312,67058.5546875,1128465.5,3399525.25,-5334.8857421875,-2563.3779296875,-6166.49462890625,106828.9375,-443142.28125,-1614803.375
126,KANSAS,-95994.453125,33631.39453125,-108655.5625,-2284.58203125,158779.0,2672341.0,8050094.5,-12642.0498046875,-6072.5732421875,-14630.6640625,253063.25,-1049536.0,-3825992.25
127,KANSAS,-64739.2890625,22684.578125,-73281.7109375,-1540.60986328125,107083.3984375,1802068.25,5428433.0,-8525.708984375,-4095.077880859375,-9862.3427734375,170674.5625,-707813.125,-2580436.0
128,KANSAS,-79878.0078125,27985.88671875,-90400.28125,-1900.8365478515625,132111.765625,2223408.0,6696814.0,-10518.044921875,-5052.9091796875,-12171.2861328125,210548.140625,-873315.875,-3183636.75
129,KANSAS,-80992.171875,28376.51953125,-91669.7421875,-1927.490478515625,133973.359375,2254716.75,6792272.0,-10665.8046875,-5123.6298828125,-12342.154296875,213522.453125,-885561.25,-3228180.0
130,KANSAS,-64815.9921875,22708.39453125,-73372.28125,-1542.5050048828125,107238.7578125,1804829.0,5436619.0,-8535.5986328125,-4100.6279296875,-9873.7255859375,170883.234375,-708817.9375,-2583403.5
131,KANSAS,-64347.90625,22547.8046875,-72833.5703125,-1531.2664794921875,106440.890625,1791304.125,5395993.0,-8474.3359375,-4070.764404296875,-9803.25390625,169641.109375,-703593.4375,-2564873.5
132,KANSAS,-56759.5859375,19883.76171875,-64266.890625,-1350.7138671875,93956.0703125,1581257.75,4763877.0,-7475.5908203125,-3591.751708984375,-8646.5869140625,149693.03125,-620919.125,-2262704.25
